"","child","parent","length"
"477","DOID:5648","DOID:14566",11
"478","DOID:200","DOID:14566",6
"479","DOID:1522","DOID:14566",8
"480","DOID:1521","DOID:14566",7
"481","DOID:203","DOID:7",7
"482","DOID:5642","DOID:7",7
"483","DOID:1526","DOID:7",4
"484","DOID:1525","DOID:7",5
"485","DOID:5641","DOID:7",7
"486","DOID:4111","DOID:14566",8
"487","DOID:4110","DOID:0050117",3
"488","DOID:4113","DOID:14566",7
"489","DOID:4112","DOID:14566",7
"490","DOID:4115","DOID:14566",10
"491","DOID:4114","DOID:14566",8
"492","DOID:4117","DOID:14566",9
"493","DOID:9348","DOID:7",7
"494","DOID:10575","DOID:0014667",4
"495","DOID:4118","DOID:14566",7
"496","DOID:809","DOID:150",4
"497","DOID:10573","DOID:7",6
"498","DOID:0050487","DOID:7",5
"499","DOID:0050486","DOID:7",4
"500","DOID:0050485","DOID:0050117",4
"501","DOID:0050484","DOID:0050117",5
"502","DOID:0050481","DOID:0050117",5
"503","DOID:0050480","DOID:0050117",5
"504","DOID:0050489","DOID:7",5
"505","DOID:0050488","DOID:0050117",6
"506","DOID:0060031","DOID:7",5
"507","DOID:3699","DOID:14566",9
"508","DOID:3698","DOID:14566",9
"509","DOID:3693","DOID:14566",11
"510","DOID:3692","DOID:14566",8
"511","DOID:3691","DOID:14566",10
"512","DOID:3690","DOID:7",4
"513","DOID:3697","DOID:7",8
"514","DOID:3696","DOID:7",9
"515","DOID:1838","DOID:0014667",4
"516","DOID:1838","DOID:7",4
"517","DOID:13378","DOID:7",6
"518","DOID:13372","DOID:0014667",4
"519","DOID:13371","DOID:0050117",5
"520","DOID:1835","DOID:7",8
"521","DOID:1837","DOID:0014667",7
"522","DOID:13375","DOID:7",6
"523","DOID:12369","DOID:7",4
"524","DOID:12362","DOID:7",8
"525","DOID:12363","DOID:7",7
"526","DOID:12360","DOID:7",7
"527","DOID:12361","DOID:7",6
"528","DOID:12364","DOID:7",7
"529","DOID:12365","DOID:0050117",4
"530","DOID:11623","DOID:7",6
"531","DOID:3479","DOID:14566",7
"532","DOID:3478","DOID:14566",8
"533","DOID:11629","DOID:7",5
"534","DOID:8072","DOID:14566",11
"535","DOID:2876","DOID:14566",7
"536","DOID:2877","DOID:14566",6
"537","DOID:2870","DOID:14566",9
"538","DOID:2871","DOID:14566",8
"539","DOID:2879","DOID:7",8
"540","DOID:13709","DOID:150",4
"541","DOID:0070003","DOID:14566",4
"542","DOID:0070004","DOID:14566",7
"543","DOID:8761","DOID:14566",7
